date,chair_key,title,filename,sent_id,frag_id,text,lemmas,damped_lemmas
2014-03-31,yellen,What the Federal Reserve Is Doing to Promote a Stronger Job Market,20140331_yellen_What_the_Federal_Reserve_Is_Doing_to_Promote_a_Stronger_Job_.txt,0,0,"I am here today to talk about what the Federal Reserve is doing to help our nation recover from the financial crisis and the Great Recession, the effects of which were particularly severe for the people and the communities you serve.",today talk federal reserve help nation recover financial crisis great recession effect particularly severe people community serve,talk nation recover recession particularly severe people community serve
2014-03-31,yellen,What the Federal Reserve Is Doing to Promote a Stronger Job Market,20140331_yellen_What_the_Federal_Reserve_Is_Doing_to_Promote_a_Stronger_Job_.txt,1,0,Part of that effort has involved strengthening the financial system.,effort involve strengthen financial system,effort involve strengthen
2014-03-31,yellen,What the Federal Reserve Is Doing to Promote a Stronger Job Market,20140331_yellen_What_the_Federal_Reserve_Is_Doing_to_Promote_a_Stronger_Job_.txt,2,0,New rules are in place to better protect consumers and ensure that credit is available to help communities grow.,new rule place well protect consumer ensure credit available help community grow,rule place well protect consumer ensure credit available community grow
2014-03-31,yellen,What the Federal Reserve Is Doing to Promote a Stronger Job Market,20140331_yellen_What_the_Federal_Reserve_Is_Doing_to_Promote_a_Stronger_Job_.txt,3,0,The Federal Reserve also plays a role in communities by fostering dialogue that promotes community development.,federal reserve play role community foster dialogue promote community development,play role community foster dialogue promote community
2014-03-31,yellen,What the Federal Reserve Is Doing to Promote a Stronger Job Market,20140331_yellen_What_the_Federal_Reserve_Is_Doing_to_Promote_a_Stronger_Job_.txt,4,0,I will highlight some initiatives around the Federal Reserve System that I believe are making a real difference.,highlight initiative federal reserve system believe make real difference,highlight initiative believe make real difference
2014-03-31,yellen,What the Federal Reserve Is Doing to Promote a Stronger Job Market,20140331_yellen_What_the_Federal_Reserve_Is_Doing_to_Promote_a_Stronger_Job_.txt,5,0,"Later today, I will visit the Manufacturing Technology Program at Daley College, on Chicago's south side, where adult students are acquiring the skills they need to connect to good-paying jobs in that sector.",later today visit manufacturing technology program daley college chicago south adult student acquire skill need connect good pay job sector,later visit manufacturing technology program daley college chicago south adult student acquire skill connect pay job sector
2014-03-31,yellen,What the Federal Reserve Is Doing to Promote a Stronger Job Market,20140331_yellen_What_the_Federal_Reserve_Is_Doing_to_Promote_a_Stronger_Job_.txt,6,0,The Fed supports the work you do in communities because you make a difference.,fed support work community difference,fed work community difference
2014-03-31,yellen,What the Federal Reserve Is Doing to Promote a Stronger Job Market,20140331_yellen_What_the_Federal_Reserve_Is_Doing_to_Promote_a_Stronger_Job_.txt,7,0,You help ensure that credit is available for families to buy homes and for small businesses to expand.,help ensure credit available family buy home small business expand,ensure credit available family buy home small expand
2014-03-31,yellen,What the Federal Reserve Is Doing to Promote a Stronger Job Market,20140331_yellen_What_the_Federal_Reserve_Is_Doing_to_Promote_a_Stronger_Job_.txt,8,0,Your organizations sponsor programs that help make communities safer and families healthier and more financially secure.,organization sponsor program help community safe family healthy financially secure,organization sponsor program community safe family healthy financially secure
2014-03-31,yellen,What the Federal Reserve Is Doing to Promote a Stronger Job Market,20140331_yellen_What_the_Federal_Reserve_Is_Doing_to_Promote_a_Stronger_Job_.txt,9,0,One of the most important things you do is to help people meet the demands of finding a job in what remains a challenging economy.,important thing help people meet demand find job remain challenging economy,thing people meet demand find job challenging
