spec,variable,coef,se,tstat,pvalue,stars
S2,hawkishness,-0.002723,0.005556,-0.4901,0.6241,
S3,hawkishness,-0.004881,0.008124,-0.6009,0.5479,
S4,hawkishness,-0.006836,0.008823,-0.7748,0.4385,
S3,hawkishness:pre_fomc,0.002128,0.015294,0.1392,0.8893,
S4,hawkishness:pre_fomc,0.00145,0.016212,0.0894,0.9287,
S3,pre_fomc,-0.013084,0.014052,-0.9311,0.3518,
S4,pre_fomc,-0.018848,0.015095,-1.2486,0.2118,
S1,DFF,0.011996,0.006384,1.879,0.0602,*
S2,DFF,0.01228,0.006473,1.8972,0.0578,*
S3,DFF,0.012779,0.006664,1.9176,0.0552,*
S4,DFF,0.024349,0.010576,2.3023,0.0213,**
S1,PCE_YOY,-0.000414,0.022231,-0.0186,0.9851,
S2,PCE_YOY,0.000345,0.022562,0.0153,0.9878,
S3,PCE_YOY,0.001362,0.023695,0.0575,0.9542,
S4,PCE_YOY,-0.005592,0.02166,-0.2582,0.7963,
S1,UNRATE,0.001096,0.002473,0.4431,0.6577,
S2,UNRATE,0.001161,0.002469,0.4704,0.638,
S3,UNRATE,0.001047,0.002554,0.4099,0.6819,
S4,UNRATE,0.000356,0.002856,0.1248,0.9007,
S1,GDP_GROWTH,-0.001149,0.001058,-1.0862,0.2774,
S2,GDP_GROWTH,-0.001185,0.001089,-1.088,0.2766,
S3,GDP_GROWTH,-0.0011,0.001076,-1.0229,0.3064,
S4,GDP_GROWTH,-0.001744,0.001082,-1.6115,0.1071,
S4,chair_yellen,0.003213,0.015139,0.2122,0.8319,
S4,chair_powell,-0.043252,0.019752,-2.1897,0.0285,**
S1,Intercept,-0.00668,0.045073,-0.1482,0.8822,
S2,Intercept,-0.008491,0.045372,-0.1871,0.8516,
S3,Intercept,-0.006552,0.045159,-0.1451,0.8846,
S4,Intercept,0.010532,0.04948,0.2129,0.8314,
