filename_a,filename_b,winner
20121120_bernanke_The_Economic_Recovery_and_Economic_Policy.txt,20091207_bernanke_Frequently_Asked_Questions.txt,20091207_bernanke_Frequently_Asked_Questions.txt
20120413_bernanke_Some_Reflections_on_the_Crisis_and_the_Policy_Response.txt,20121120_bernanke_The_Economic_Recovery_and_Economic_Policy.txt,20120413_bernanke_Some_Reflections_on_the_Crisis_and_the_Policy_Response.txt
20090821_bernanke_Reflections_on_a_Year_of_Crisis.txt,20120326_bernanke_Recent_Developments_in_the_Labor_Market.txt,20120326_bernanke_Recent_Developments_in_the_Labor_Market.txt
20100530_bernanke_The_Policy_Response_to_the_Crisis_in_Korea_and_Other_Emergin.txt,20110404_bernanke_Clearinghouses_Financial_Stability_and_Financial_Reform.txt,20100530_bernanke_The_Policy_Response_to_the_Crisis_in_Korea_and_Other_Emergin.txt
20101015_bernanke_Monetary_Policy_Objectives_and_Tools_in_a_Low-Inflation_Envi.txt,20121115_bernanke_Challenges_in_Housing_and_Mortgage_Markets.txt,20101015_bernanke_Monetary_Policy_Objectives_and_Tools_in_a_Low-Inflation_Envi.txt
20110607_bernanke_The_US_Economic_Outlook.txt,20100924_bernanke_Implications_of_the_Financial_Crisis_for_Economics.txt,20110607_bernanke_The_US_Economic_Outlook.txt
20131119_bernanke_Communication_and_Monetary_Policy.txt,20130301_bernanke_Long-Term_Interest_Rates.txt,20131119_bernanke_Communication_and_Monetary_Policy.txt
20110404_bernanke_Clearinghouses_Financial_Stability_and_Financial_Reform.txt,20080609_bernanke_Outstanding_Issues_in_the_Analysis_of_Inflation.txt,20080609_bernanke_Outstanding_Issues_in_the_Analysis_of_Inflation.txt
20130710_bernanke_A_Century_of_US_Central_Banking_Goals_Frameworks_Accountabil.txt,20121001_bernanke_Five_Questions_about_the_Federal_Reserve_and_Monetary_Policy.txt,20130710_bernanke_A_Century_of_US_Central_Banking_Goals_Frameworks_Accountabil.txt
20120831_bernanke_Monetary_Policy_since_the_Onset_of_the_Crisis.txt,20081014_bernanke_Remarks.txt,20081014_bernanke_Remarks.txt
20080603_bernanke_Remarks_on_the_economic_outlook.txt,20120326_bernanke_Recent_Developments_in_the_Labor_Market.txt,20080603_bernanke_Remarks_on_the_economic_outlook.txt
20110218_bernanke_Global_Imbalances_Links_to_Economic_and_Financial_Stability.txt,20100827_bernanke_The_Economic_Outlook_and_Monetary_Policy.txt,20110218_bernanke_Global_Imbalances_Links_to_Economic_and_Financial_Stability.txt
20080609_bernanke_Outstanding_Issues_in_the_Analysis_of_Inflation.txt,20090403_bernanke_The_Federal_Reserves_Balance_Sheet.txt,20080609_bernanke_Outstanding_Issues_in_the_Analysis_of_Inflation.txt
20091008_bernanke_The_Federal_Reserves_Balance_Sheet_An_Update.txt,20120210_bernanke_Housing_Markets_in_Transition.txt,20091008_bernanke_The_Federal_Reserves_Balance_Sheet_An_Update.txt
20131014_bernanke_Celebrating_20_Years_of_the_Bank_of_Mexicos_Independence.txt,20080304_bernanke_Reducing_Preventable_Mortgage_Foreclosures.txt,20080304_bernanke_Reducing_Preventable_Mortgage_Foreclosures.txt
20081007_bernanke_Current_Economic_and_Financial_Conditions.txt,20080515_bernanke_Risk_Management_in_Financial_Institutions.txt,20081007_bernanke_Current_Economic_and_Financial_Conditions.txt
20081007_bernanke_Current_Economic_and_Financial_Conditions.txt,20120831_bernanke_Monetary_Policy_since_the_Onset_of_the_Crisis.txt,20081007_bernanke_Current_Economic_and_Financial_Conditions.txt
20091207_bernanke_Frequently_Asked_Questions.txt,20081014_bernanke_Remarks.txt,20091207_bernanke_Frequently_Asked_Questions.txt
20081015_bernanke_Stabilizing_the_Financial_Markets_and_the_Economy.txt,20121014_bernanke_US_Monetary_Policy_and_International_Implications.txt,20081015_bernanke_Stabilizing_the_Financial_Markets_and_the_Economy.txt
