filename_a,filename_b,winner
20240403_powell_Opening_Remarks.txt,20210827_powell_Monetary_Policy_in_the_Time_of_COVID.txt,20240403_powell_Opening_Remarks.txt
20190604_powell_Opening_Remarks.txt,20191004_powell_Opening_Remarks.txt,20190604_powell_Opening_Remarks.txt
20181002_powell_Monetary_Policy_and_Risk_Management_at_a_Time_of_Low_Inflati.txt,20250822_powell_Monetary_Policy_and_the_Fedâs_Framework_Review.txt,20181002_powell_Monetary_Policy_and_Risk_Management_at_a_Time_of_Low_Inflati.txt
20231109_powell_Opening_Remarks.txt,20180406_powell_The_Outlook_for_the_US_Economy.txt,20231109_powell_Opening_Remarks.txt
20180620_powell_Monetary_Policy_at_a_Time_of_Uncertainty_and_Tight_Labor_Mar.txt,20231019_powell_Opening_Remarks.txt,20231019_powell_Opening_Remarks.txt
20190823_powell_Challenges_for_Monetary_Policy.txt,20190308_powell_Monetary_Policy_Normalization_and_the_Road_Ahead.txt,20190823_powell_Challenges_for_Monetary_Policy.txt
20250404_powell_Economic_Outlook.txt,20180824_powell_Monetary_Policy_in_a_Changing_Economy.txt,20250404_powell_Economic_Outlook.txt
20181128_powell_The_Federal_Reserves_Framework_for_Monitoring_Financial_Stab.txt,20200513_powell_Current_Economic_Issues.txt,20181128_powell_The_Federal_Reserves_Framework_for_Monitoring_Financial_Stab.txt
20190228_powell_Recent_Economic_Developments_and_Longer-Term_Challenges.txt,20250416_powell_Economic_Outlook.txt,20250416_powell_Economic_Outlook.txt
20190716_powell_Monetary_Policy_in_the_Post-Crisis_Era.txt,20201006_powell_Recent_Economic_Developments_and_the_Challenges_Ahead.txt,20190716_powell_Monetary_Policy_in_the_Post-Crisis_Era.txt
20181002_powell_Monetary_Policy_and_Risk_Management_at_a_Time_of_Low_Inflati.txt,20250416_powell_Economic_Outlook.txt,20181002_powell_Monetary_Policy_and_Risk_Management_at_a_Time_of_Low_Inflati.txt
20190520_powell_Business_Debt_and_Our_Dynamic_Financial_System.txt,20200513_powell_Current_Economic_Issues.txt,20190520_powell_Business_Debt_and_Our_Dynamic_Financial_System.txt
20240930_powell_Economic_Outlook.txt,20221130_powell_Inflation_and_the_Labor_Market.txt,20221130_powell_Inflation_and_the_Labor_Market.txt
20241114_powell_Economic_Outlook.txt,20230825_powell_Inflation_Progress_and_the_Path_Ahead.txt,20230825_powell_Inflation_Progress_and_the_Path_Ahead.txt
20230629_powell_Financial_Stability_and_Economic_Developments.txt,20240823_powell_Review_and_Outlook.txt,20230629_powell_Financial_Stability_and_Economic_Developments.txt
20221130_powell_Inflation_and_the_Labor_Market.txt,20190520_powell_Business_Debt_and_Our_Dynamic_Financial_System.txt,20221130_powell_Inflation_and_the_Labor_Market.txt
20190604_powell_Opening_Remarks.txt,20180406_powell_The_Outlook_for_the_US_Economy.txt,20180406_powell_The_Outlook_for_the_US_Economy.txt
20250307_powell_Economic_Outlook.txt,20180406_powell_The_Outlook_for_the_US_Economy.txt,
20231201_powell_Opening_Remarks.txt,20190716_powell_Monetary_Policy_in_the_Post-Crisis_Era.txt,
20190604_powell_Opening_Remarks.txt,20251014_powell_Understanding_the_Fedâs_Balance_Sheet.txt,
20190308_powell_Monetary_Policy_Normalization_and_the_Road_Ahead.txt,20181002_powell_Monetary_Policy_and_Risk_Management_at_a_Time_of_Low_Inflati.txt,
20210827_powell_Monetary_Policy_in_the_Time_of_COVID.txt,20180406_powell_The_Outlook_for_the_US_Economy.txt,
20190716_powell_Monetary_Policy_in_the_Post-Crisis_Era.txt,20191004_powell_Opening_Remarks.txt,20190716_powell_Monetary_Policy_in_the_Post-Crisis_Era.txt
20210210_powell_Getting_Back_to_a_Strong_Labor_Market.txt,20191008_powell_Data-Dependent_Monetary_Policy_in_an_Evolving_Economy.txt,20191008_powell_Data-Dependent_Monetary_Policy_in_an_Evolving_Economy.txt
20191009_powell_Opening_Remarks.txt,20220826_powell_Monetary_Policy_and_Price_Stability.txt,20220826_powell_Monetary_Policy_and_Price_Stability.txt
20190308_powell_Monetary_Policy_Normalization_and_the_Road_Ahead.txt,20231109_powell_Opening_Remarks.txt,20231109_powell_Opening_Remarks.txt
20250923_powell_Economic_Outlook.txt,20221130_powell_Inflation_and_the_Labor_Market.txt,20221130_powell_Inflation_and_the_Labor_Market.txt
20190823_powell_Challenges_for_Monetary_Policy.txt,20210210_powell_Getting_Back_to_a_Strong_Labor_Market.txt,20190823_powell_Challenges_for_Monetary_Policy.txt
20190823_powell_Challenges_for_Monetary_Policy.txt,20180927_powell_Brief_Remarks_on_the_US_Economy.txt,20180927_powell_Brief_Remarks_on_the_US_Economy.txt
20190308_powell_Monetary_Policy_Normalization_and_the_Road_Ahead.txt,20250515_powell_Opening_Remarks.txt,20250515_powell_Opening_Remarks.txt
20190228_powell_Recent_Economic_Developments_and_Longer-Term_Challenges.txt,20240930_powell_Economic_Outlook.txt,
20240403_powell_Opening_Remarks.txt,20250923_powell_Economic_Outlook.txt,20240403_powell_Opening_Remarks.txt
20241114_powell_Economic_Outlook.txt,20200409_powell_COVID-19_and_the_Economy.txt,20241114_powell_Economic_Outlook.txt
20200827_powell_New_Economic_Challenges_and_the_Feds_Monetary_Policy_Review.txt,20251014_powell_Understanding_the_Fedâs_Balance_Sheet.txt,20251014_powell_Understanding_the_Fedâs_Balance_Sheet.txt
20190308_powell_Monetary_Policy_Normalization_and_the_Road_Ahead.txt,20230825_powell_Inflation_Progress_and_the_Path_Ahead.txt,20230825_powell_Inflation_Progress_and_the_Path_Ahead.txt
20180406_powell_The_Outlook_for_the_US_Economy.txt,20190228_powell_Recent_Economic_Developments_and_Longer-Term_Challenges.txt,20180406_powell_The_Outlook_for_the_US_Economy.txt
20220321_powell_Restoring_Price_Stability.txt,20250416_powell_Economic_Outlook.txt,
20240403_powell_Opening_Remarks.txt,20181128_powell_The_Federal_Reserves_Framework_for_Monitoring_Financial_Stab.txt,20240403_powell_Opening_Remarks.txt
20250404_powell_Economic_Outlook.txt,20210210_powell_Getting_Back_to_a_Strong_Labor_Market.txt,20250404_powell_Economic_Outlook.txt
20210210_powell_Getting_Back_to_a_Strong_Labor_Market.txt,20190308_powell_Monetary_Policy_Normalization_and_the_Road_Ahead.txt,
20210827_powell_Monetary_Policy_in_the_Time_of_COVID.txt,20250307_powell_Economic_Outlook.txt,
20180525_powell_Financial_Stability_and_Central_Bank_Transparency.txt,20250307_powell_Economic_Outlook.txt,20250307_powell_Economic_Outlook.txt
20250822_powell_Monetary_Policy_and_the_Fedâs_Framework_Review.txt,20210210_powell_Getting_Back_to_a_Strong_Labor_Market.txt,20250822_powell_Monetary_Policy_and_the_Fedâs_Framework_Review.txt
20250923_powell_Economic_Outlook.txt,20250416_powell_Economic_Outlook.txt,20250923_powell_Economic_Outlook.txt
20191125_powell_Building_on_the_Gains_from_the_Long_Expansion.txt,20230629_powell_Financial_Stability_and_Economic_Developments.txt,20230629_powell_Financial_Stability_and_Economic_Developments.txt
20180525_powell_Financial_Stability_and_Central_Bank_Transparency.txt,20230825_powell_Inflation_Progress_and_the_Path_Ahead.txt,20230825_powell_Inflation_Progress_and_the_Path_Ahead.txt
20190604_powell_Opening_Remarks.txt,20220321_powell_Restoring_Price_Stability.txt,20220321_powell_Restoring_Price_Stability.txt
20191125_powell_Building_on_the_Gains_from_the_Long_Expansion.txt,20190625_powell_Economic_Outlook_and_Monetary_Policy_Review.txt,20191125_powell_Building_on_the_Gains_from_the_Long_Expansion.txt
20210210_powell_Getting_Back_to_a_Strong_Labor_Market.txt,20180620_powell_Monetary_Policy_at_a_Time_of_Uncertainty_and_Tight_Labor_Mar.txt,20180620_powell_Monetary_Policy_at_a_Time_of_Uncertainty_and_Tight_Labor_Mar.txt
20180927_powell_Brief_Remarks_on_the_US_Economy.txt,20201006_powell_Recent_Economic_Developments_and_the_Challenges_Ahead.txt,20180927_powell_Brief_Remarks_on_the_US_Economy.txt
20200827_powell_New_Economic_Challenges_and_the_Feds_Monetary_Policy_Review.txt,20220826_powell_Monetary_Policy_and_Price_Stability.txt,20220826_powell_Monetary_Policy_and_Price_Stability.txt
20230825_powell_Inflation_Progress_and_the_Path_Ahead.txt,20190625_powell_Economic_Outlook_and_Monetary_Policy_Review.txt,20230825_powell_Inflation_Progress_and_the_Path_Ahead.txt
20190308_powell_Monetary_Policy_Normalization_and_the_Road_Ahead.txt,20250416_powell_Economic_Outlook.txt,20250416_powell_Economic_Outlook.txt
20180525_powell_Financial_Stability_and_Central_Bank_Transparency.txt,20200409_powell_COVID-19_and_the_Economy.txt,20180525_powell_Financial_Stability_and_Central_Bank_Transparency.txt
20190625_powell_Economic_Outlook_and_Monetary_Policy_Review.txt,20181128_powell_The_Federal_Reserves_Framework_for_Monitoring_Financial_Stab.txt,20181128_powell_The_Federal_Reserves_Framework_for_Monitoring_Financial_Stab.txt
20191009_powell_Opening_Remarks.txt,20210827_powell_Monetary_Policy_in_the_Time_of_COVID.txt,20210827_powell_Monetary_Policy_in_the_Time_of_COVID.txt
