regime,var1,var2,pearson_r
bernanke,hawk_z,dove_z,-0.0039
bernanke,hawk_z,net_z,0.6016
bernanke,hawk_z,hawkishness,0.6659
bernanke,dove_z,net_z,-0.8011
bernanke,dove_z,hawkishness,-0.7486
bernanke,net_z,hawkishness,0.9965
yellen,hawk_z,dove_z,0.2661
yellen,hawk_z,net_z,0.2371
yellen,hawk_z,hawkishness,0.4484
yellen,dove_z,net_z,-0.8734
yellen,dove_z,hawkishness,-0.7423
yellen,net_z,hawkishness,0.9747
powell,hawk_z,dove_z,-0.0203
powell,hawk_z,net_z,0.7143
powell,hawk_z,hawkishness,0.8081
powell,dove_z,net_z,-0.7143
powell,dove_z,hawkishness,-0.6054
powell,net_z,hawkishness,0.9895
pooled,hawk_z,dove_z,0.0152
pooled,hawk_z,net_z,0.6215
pooled,hawk_z,hawkishness,0.7214
pooled,dove_z,net_z,-0.7695
pooled,dove_z,hawkishness,-0.6807
pooled,net_z,hawkishness,0.99
