date,chair_key,title,filename,sent_id,frag_id,text,lemmas,damped_lemmas
2008-01-10,bernanke,"Financial Markets, the Economic Outlook, and Monetary Policy",20080110_bernanke_Financial_Markets_the_Economic_Outlook_and_Monetary_Policy.txt,0,0,"Since late last summer, the financial markets in the United States and in a number of other industrialized countries have been under considerable strain.",late summer financial market united states number industrialize country considerable strain,late summer united states number industrialize country considerable strain
2008-01-10,bernanke,"Financial Markets, the Economic Outlook, and Monetary Policy",20080110_bernanke_Financial_Markets_the_Economic_Outlook_and_Monetary_Policy.txt,1,0,"The turmoil has affected the prospects for the broader economy, principally through its effects on the availability and terms of credit to households and businesses.",turmoil affect prospect broad economy principally effect availability term credit household business,turmoil affect prospect broad principally availability household business
2008-01-10,bernanke,"Financial Markets, the Economic Outlook, and Monetary Policy",20080110_bernanke_Financial_Markets_the_Economic_Outlook_and_Monetary_Policy.txt,2,0,"Financial market conditions, in turn, have been sensitive to the evolving economic outlook, as investors have tried to assess the implications of incoming economic information for future earnings and asset values.",financial market condition turn sensitive evolve economic outlook investor try assess implication incoming economic information future earning asset value,turn sensitive evolve outlook investor try assess implication incoming information future earning asset value
2008-01-10,bernanke,"Financial Markets, the Economic Outlook, and Monetary Policy",20080110_bernanke_Financial_Markets_the_Economic_Outlook_and_Monetary_Policy.txt,3,0,These interactions have produced a volatile situation that has made forecasting the course of the economy even more difficult than usual.,interaction produce volatile situation forecast course economy difficult usual,interaction produce volatile situation forecast course difficult usual
2008-01-10,bernanke,"Financial Markets, the Economic Outlook, and Monetary Policy",20080110_bernanke_Financial_Markets_the_Economic_Outlook_and_Monetary_Policy.txt,4,0,"In my remarks today I will provide some perspective on recent developments in the economy and financial markets, focusing on conditions in the United States.",remark today provide perspective recent development economy financial market focus condition united states,remark today perspective development focus united states
2008-01-10,bernanke,"Financial Markets, the Economic Outlook, and Monetary Policy",20080110_bernanke_Financial_Markets_the_Economic_Outlook_and_Monetary_Policy.txt,5,0,I will then discuss the Fedâs recent policy actions and our plans for addressing the economic and financial challenges ahead.,discuss fedâs recent policy action plan address economic financial challenge ahead,discuss fedâs plan address challenge ahead
2008-01-10,bernanke,"Financial Markets, the Economic Outlook, and Monetary Policy",20080110_bernanke_Financial_Markets_the_Economic_Outlook_and_Monetary_Policy.txt,6,0,"Housing, the Subprime Mortgage Market, and the Financial Turmoil As you will recall, the U.S. economy experienced a mild recession in .",housing subprime mortgage market financial turmoil recall u.s. economy experience mild recession,housing subprime mortgage turmoil recall u.s. experience mild recession
2008-01-10,bernanke,"Financial Markets, the Economic Outlook, and Monetary Policy",20080110_bernanke_Financial_Markets_the_Economic_Outlook_and_Monetary_Policy.txt,7,0,"During the ensuing recovery, above-trend growth was accompanied by rising rates of resource utilization, particularly after the expansion picked up steam in mid- .",ensue recovery trend growth accompany rise rate resource utilization particularly expansion pick steam mid-,ensue recovery trend growth accompany rise resource utilization particularly expansion pick steam mid-
2008-01-10,bernanke,"Financial Markets, the Economic Outlook, and Monetary Policy",20080110_bernanke_Financial_Markets_the_Economic_Outlook_and_Monetary_Policy.txt,8,0,"Notably, the civilian unemployment rate declined from a high of .",notably civilian unemployment rate decline high,notably civilian unemployment decline
2008-01-10,bernanke,"Financial Markets, the Economic Outlook, and Monetary Policy",20080110_bernanke_Financial_Markets_the_Economic_Outlook_and_Monetary_Policy.txt,11,0,"As the economy approached full employment, the Federal Open Market Committee (FOMC), the monetary policymaking arm of the Federal Reserve System, was faced with the classic problem of managing the mid-cycle slowdown--that is, of setting policy to help guide the economy toward sustainable growth without inflation.",economy approach employment federal open market committee fomc monetary policymake arm federal reserve system face classic problem manage mid cycle slowdown set policy help guide economy sustainable growth inflation,approach employment open committee fomc monetary policymake arm face classic problem manage mid cycle slowdown set guide sustainable growth inflation
