date,year,chair,chair_key,title,url,word_count,filename,fomc_day,filter_stage,filter_decision,filter_reason
2008-01-10,2008,Ben S. Bernanke,bernanke,"Financial Markets, the Economic Outlook, and Monetary Policy",https://www.federalreserve.gov/newsevents/speech/bernanke20080110a.htm,3816,20080110_bernanke_Financial_Markets_the_Economic_Outlook_and_Monetary_Policy.txt,False,stage1,INCLUDE,title keyword: 'monetary policy'
2008-03-04,2008,Ben S. Bernanke,bernanke,Reducing Preventable Mortgage Foreclosures,https://www.federalreserve.gov/newsevents/speech/bernanke20080304a.htm,3402,20080304_bernanke_Reducing_Preventable_Mortgage_Foreclosures.txt,False,stage2,INCLUDE,"Discusses mortgage crisis, financial stability, credit conditions."
2008-04-10,2008,Ben S. Bernanke,bernanke,Addressing Weaknesses in the Global Financial Markets: The Report of the President's Working Group on Financial Markets,https://www.federalreserve.gov/newsevents/speech/bernanke20080410a.htm,3553,20080410_bernanke_Addressing_Weaknesses_in_the_Global_Financial_Markets_The_Re.txt,False,stage2,INCLUDE,"Financial stability, credit conditions, and Fed policy response."
2008-05-13,2008,Ben S. Bernanke,bernanke,Liquidity Provision by the Federal Reserve,https://www.federalreserve.gov/newsevents/speech/bernanke20080513.htm,4178,20080513_bernanke_Liquidity_Provision_by_the_Federal_Reserve.txt,False,stage2,INCLUDE,Fed liquidity tools and monetary policy transmission during crisis.
2008-05-15,2008,Ben S. Bernanke,bernanke,Risk Management in Financial Institutions,https://www.federalreserve.gov/newsevents/speech/bernanke20080515a.htm,3184,20080515_bernanke_Risk_Management_in_Financial_Institutions.txt,False,stage2,INCLUDE,"Financial stability, credit conditions, systemic risk implications."
2008-06-03,2008,Ben S. Bernanke,bernanke,Remarks on the economic outlook,https://www.federalreserve.gov/newsevents/speech/bernanke20080603a.htm,2470,20080603_bernanke_Remarks_on_the_economic_outlook.txt,False,stage1,INCLUDE,title keyword: 'economic outlook'
2008-06-09,2008,Ben S. Bernanke,bernanke,Outstanding Issues in the Analysis of Inflation,https://www.federalreserve.gov/newsevents/speech/bernanke20080609a.htm,3583,20080609_bernanke_Outstanding_Issues_in_the_Analysis_of_Inflation.txt,False,stage1,INCLUDE,title keyword: 'inflation'
2008-07-08,2008,Ben S. Bernanke,bernanke,Financial Regulation and Financial Stability,https://www.federalreserve.gov/newsevents/speech/bernanke20080708a.htm,4082,20080708_bernanke_Financial_Regulation_and_Financial_Stability.txt,False,stage1,INCLUDE,title keyword: 'financial stability'
2008-08-22,2008,Ben S. Bernanke,bernanke,Reducing Systemic Risk,https://www.federalreserve.gov/newsevents/speech/bernanke20080822a.htm,4027,20080822_bernanke_Reducing_Systemic_Risk.txt,False,stage2,INCLUDE,"Discusses monetary policy response, inflation outlook, systemic risk."
2008-10-07,2008,Ben S. Bernanke,bernanke,Current Economic and Financial Conditions,https://www.federalreserve.gov/newsevents/speech/bernanke20081007a.htm,3339,20081007_bernanke_Current_Economic_and_Financial_Conditions.txt,False,stage2,INCLUDE,"Discusses financial stress, Fed tools, economic outlook."
2008-10-14,2008,Ben S. Bernanke,bernanke,Remarks,https://www.federalreserve.gov/newsevents/speech/bernanke20081014a.htm,629,20081014_bernanke_Remarks.txt,False,stage2,INCLUDE,"Financial crisis response, Fed actions, systemic stability policy."
2008-10-15,2008,Ben S. Bernanke,bernanke,Stabilizing the Financial Markets and the Economy,https://www.federalreserve.gov/newsevents/speech/bernanke20081015a.htm,3110,20081015_bernanke_Stabilizing_the_Financial_Markets_and_the_Economy.txt,False,stage1,INCLUDE,title keyword: 'the economy'
2008-10-31,2008,Ben S. Bernanke,bernanke,The Future of Mortgage Finance in the United States,https://www.federalreserve.gov/newsevents/speech/bernanke20081031a.htm,3557,20081031_bernanke_The_Future_of_Mortgage_Finance_in_the_United_States.txt,False,stage2,INCLUDE,"Discusses financial crisis, credit conditions, and policy implications."
2008-11-14,2008,Ben S. Bernanke,bernanke,Policy Coordination Among Central Banks,https://www.federalreserve.gov/newsevents/speech/bernanke20081214a.htm,1799,20081114_bernanke_Policy_Coordination_Among_Central_Banks.txt,False,stage2,INCLUDE,Discusses international monetary policy coordination during financial crisis.
2008-12-01,2008,Ben S. Bernanke,bernanke,Federal Reserve Policies in the Financial Crisis,https://www.federalreserve.gov/newsevents/speech/bernanke20081201a.htm,4143,20081201_bernanke_Federal_Reserve_Policies_in_the_Financial_Crisis.txt,False,stage1,INCLUDE,title keyword: 'financial crisis'
2008-12-04,2008,Ben S. Bernanke,bernanke,"Housing, Mortgage Markets, and Foreclosures",https://www.federalreserve.gov/newsevents/speech/bernanke20081204a.htm,4180,20081204_bernanke_Housing_Mortgage_Markets_and_Foreclosures.txt,False,stage2,INCLUDE,"Discusses housing crisis, financial conditions, and policy responses."
2009-01-13,2009,Ben S. Bernanke,bernanke,The Crisis and the Policy Response,https://www.federalreserve.gov/newsevents/speech/bernanke20090113a.htm,5272,20090113_bernanke_The_Crisis_and_the_Policy_Response.txt,False,stage2,INCLUDE,"Discusses Fed crisis response, policy tools, economic outlook."
2009-02-18,2009,Ben S. Bernanke,bernanke,Federal Reserve Policies to Ease Credit and Their Implications for the Fed's Balance Sheet,https://www.federalreserve.gov/newsevents/speech/bernanke20090218a.htm,4045,20090218_bernanke_Federal_Reserve_Policies_to_Ease_Credit_and_Their_Implicatio.txt,False,stage2,INCLUDE,"Core monetary policy: credit easing, balance sheet, crisis response."
2009-03-10,2009,Ben S. Bernanke,bernanke,Financial Reform to Address Systemic Risk,https://www.federalreserve.gov/newsevents/speech/bernanke20090310a.htm,4606,20090310_bernanke_Financial_Reform_to_Address_Systemic_Risk.txt,False,stage2,INCLUDE,"Discusses systemic risk, global imbalances, financial stability policy."
2009-03-20,2009,Ben S. Bernanke,bernanke,The Financial Crisis and Community Banking,https://www.federalreserve.gov/newsevents/speech/bernanke20090320a.htm,3673,20090320_bernanke_The_Financial_Crisis_and_Community_Banking.txt,False,stage1,INCLUDE,title keyword: 'financial crisis'
2009-04-03,2009,Ben S. Bernanke,bernanke,The Federal Reserve's Balance Sheet,https://www.federalreserve.gov/newsevents/speech/bernanke20090403a.htm,4332,20090403_bernanke_The_Federal_Reserves_Balance_Sheet.txt,False,stage1,INCLUDE,title keyword: 'federal reserve's balance sheet'
2009-04-14,2009,Ben S. Bernanke,bernanke,Four Questions about the Financial Crisis,https://www.federalreserve.gov/newsevents/speech/bernanke20090414a.htm,4321,20090414_bernanke_Four_Questions_about_the_Financial_Crisis.txt,False,stage1,INCLUDE,title keyword: 'financial crisis'
2009-05-07,2009,Ben S. Bernanke,bernanke,Lessons of the Financial Crisis for Banking Supervision,https://www.federalreserve.gov/newsevents/speech/bernanke20090507a.htm,3750,20090507_bernanke_Lessons_of_the_Financial_Crisis_for_Banking_Supervision.txt,False,stage1,INCLUDE,title keyword: 'financial crisis'
2009-08-21,2009,Ben S. Bernanke,bernanke,Reflections on a Year of Crisis,https://www.federalreserve.gov/newsevents/speech/bernanke20090821a.htm,5849,20090821_bernanke_Reflections_on_a_Year_of_Crisis.txt,False,stage2,INCLUDE,Discusses crisis policy responses and financial stability implications.
2009-10-08,2009,Ben S. Bernanke,bernanke,The Federal Reserve's Balance Sheet: An Update,https://www.federalreserve.gov/newsevents/speech/bernanke20091008a.htm,5322,20091008_bernanke_The_Federal_Reserves_Balance_Sheet_An_Update.txt,False,stage1,INCLUDE,title keyword: 'federal reserve's balance sheet'
2009-10-19,2009,Ben S. Bernanke,bernanke,Asia and the Global Financial Crisis,https://www.federalreserve.gov/newsevents/speech/bernanke20091019a.htm,4100,20091019_bernanke_Asia_and_the_Global_Financial_Crisis.txt,False,stage1,INCLUDE,title keyword: 'financial crisis'
2009-10-23,2009,Ben S. Bernanke,bernanke,Financial Regulation and Supervision after the Crisis: The Role of the Federal Reserve,https://www.federalreserve.gov/newsevents/speech/bernanke20091023a.htm,4377,20091023_bernanke_Financial_Regulation_and_Supervision_after_the_Crisis_The_Ro.txt,False,stage2,INCLUDE,"Systemic risk, macroprudential policy, financial stability framework."
2009-11-16,2009,Ben S. Bernanke,bernanke,On the Outlook for the Economy and Policy,https://www.federalreserve.gov/newsevents/speech/bernanke20091116a.htm,3922,20091116_bernanke_On_the_Outlook_for_the_Economy_and_Policy.txt,False,stage1,INCLUDE,title keyword: 'the economy'
2009-12-07,2009,Ben S. Bernanke,bernanke,Frequently Asked Questions,https://www.federalreserve.gov/newsevents/speech/bernanke20091207a.htm,4231,20091207_bernanke_Frequently_Asked_Questions.txt,False,stage2,INCLUDE,"Discusses economic outlook, Fed actions, inflation, monetary policy."
