date,year,chair,chair_key,title,url,word_count,filename,fomc_day,filter_stage,filter_decision,filter_reason
2014-03-31,2014,Janet L. Yellen,yellen,What the Federal Reserve Is Doing to Promote a Stronger Job Market,https://www.federalreserve.gov/newsevents/speech/yellen20140331a.htm,4105,20140331_yellen_What_the_Federal_Reserve_Is_Doing_to_Promote_a_Stronger_Job_.txt,False,stage2,INCLUDE,Discusses labor market recovery and Fed policy response.
2014-04-16,2014,Janet L. Yellen,yellen,Monetary Policy and the Economic Recovery,https://www.federalreserve.gov/newsevents/speech/yellen20140416a.htm,5335,20140416_yellen_Monetary_Policy_and_the_Economic_Recovery.txt,False,stage1,INCLUDE,title keyword: 'monetary policy'
2014-05-15,2014,Janet L. Yellen,yellen,Small Businesses and the Recovery,https://www.federalreserve.gov/newsevents/speech/yellen20140515a.htm,564,20140515_yellen_Small_Businesses_and_the_Recovery.txt,False,stage2,INCLUDE,"Discusses monetary policy, recovery, employment mandate."
2014-07-02,2014,Janet L. Yellen,yellen,Monetary Policy and Financial Stability,https://www.federalreserve.gov/newsevents/speech/yellen20140702a.htm,4956,20140702_yellen_Monetary_Policy_and_Financial_Stability.txt,False,stage1,INCLUDE,title keyword: 'monetary policy'
2014-08-22,2014,Janet L. Yellen,yellen,Labor Market Dynamics and Monetary Policy,https://www.federalreserve.gov/newsevents/speech/yellen20140822a.htm,5615,20140822_yellen_Labor_Market_Dynamics_and_Monetary_Policy.txt,False,stage1,INCLUDE,title keyword: 'monetary policy'
2014-11-07,2014,Janet L. Yellen,yellen,"Remarks at the Panel Discussion on ""Shaping the Future of the Macroeconomic Policy Mix""",https://www.federalreserve.gov/newsevents/speech/yellen20141107a.htm,1499,20141107_yellen_Remarks_at_the_Panel_Discussion_on_Shaping_the_Future_of_the.txt,False,stage1,INCLUDE,title keyword: 'economic policy'
2015-03-27,2015,Janet L. Yellen,yellen,Normalizing Monetary Policy:  Prospects and Perspectives,https://www.federalreserve.gov/newsevents/speech/yellen20150327a.htm,6426,20150327_yellen_Normalizing_Monetary_Policy_Prospects_and_Perspectives.txt,False,stage1,INCLUDE,title keyword: 'monetary policy'
2015-05-22,2015,Janet L. Yellen,yellen,The Outlook for the Economy,https://www.federalreserve.gov/newsevents/speech/yellen20150522a.htm,3744,20150522_yellen_The_Outlook_for_the_Economy.txt,False,stage1,INCLUDE,title keyword: 'the economy'
2015-07-10,2015,Janet L. Yellen,yellen,Recent Developments and the Outlook for the Economy,https://www.federalreserve.gov/newsevents/speech/yellen20150710a.htm,4227,20150710_yellen_Recent_Developments_and_the_Outlook_for_the_Economy.txt,False,stage1,INCLUDE,title keyword: 'the economy'
2015-09-24,2015,Janet L. Yellen,yellen,Inflation Dynamics and Monetary Policy,https://www.federalreserve.gov/newsevents/speech/yellen20150924a.htm,10682,20150924_yellen_Inflation_Dynamics_and_Monetary_Policy.txt,False,stage1,INCLUDE,title keyword: 'monetary policy'
2015-12-02,2015,Janet L. Yellen,yellen,The Economic Outlook and Monetary Policy,https://www.federalreserve.gov/newsevents/speech/yellen20151202a.htm,5317,20151202_yellen_The_Economic_Outlook_and_Monetary_Policy.txt,False,stage1,INCLUDE,title keyword: 'monetary policy'
